TotalSF,Overall Qual,Neighborhood,Bsmt Qual,Exter Qual,Kitchen Qual,Garage Cars,TotalBathrooms,Age,Garage Finish,SalePrice
9809424.0,7,Gilbert,Gd,Gd,Gd,2.0,2.5,6,Fin,184500
22848400.0,6,Gilbert,Gd,Gd,Gd,2.0,2.5,8,Fin,216500
18601969.0,7,Gilbert,Gd,Gd,Gd,2.0,2.5,6,Fin,185088
10523536.0,7,Gilbert,Gd,TA,TA,2.0,2.5,10,Fin,180000
24542116.0,7,Gilbert,Gd,Gd,Gd,2.0,2.5,9,Fin,222500
43441281.0,9,NoRidge,Gd,Gd,Gd,3.0,2.5,11,Fin,333168
43283241.0,8,NoRidge,Ex,Gd,Gd,3.0,2.5,12,Fin,355000
26625600.0,7,NoRidge,Gd,Gd,Gd,2.0,2.0,14,Fin,260400
44983849.0,8,NoRidge,Ex,Gd,Gd,2.0,2.5,16,RFn,325000
32398864.0,8,NoRidge,Gd,Gd,Gd,3.0,2.5,11,Fin,290000
23746129.0,7,NoRidge,Gd,Gd,TA,2.0,2.5,12,Fin,221000
72403081.0,8,NoRidge,Gd,Gd,Gd,3.0,2.5,15,Fin,410000
22896225.0,8,Somerst,Gd,Gd,Gd,3.0,2.0,5,RFn,221500
13351716.0,7,Somerst,Gd,Gd,Gd,2.0,2.0,1,RFn,204500
14822500.0,7,Somerst,Gd,TA,Gd,2.0,2.5,1,Unf,215200
22071204.0,8,Somerst,Gd,Gd,Gd,2.0,2.0,2,RFn,262500
23863225.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,6,RFn,254900
19395216.0,6,Somerst,Ex,Gd,Gd,2.0,2.0,5,Fin,271500
26255376.0,7,SawyerW,Gd,Gd,Gd,2.0,2.5,6,RFn,233000
17214201.0,7,SawyerW,Gd,Gd,Gd,2.0,2.5,6,RFn,181000
26708224.0,7,SawyerW,Gd,Gd,Gd,2.0,2.5,16,RFn,205000
7667361.0,6,SawyerW,Gd,TA,TA,1.0,2.0,30,RFn,143000
22515025.0,6,SawyerW,Gd,Gd,Gd,2.0,2.5,18,RFn,189000
7584516.0,6,SawyerW,Gd,TA,TA,1.0,2.0,31,Unf,99500
5053504.0,6,SawyerW,Gd,TA,TA,1.0,1.0,26,Unf,125000
20106256.0,7,SawyerW,Gd,Gd,Gd,2.0,2.5,17,RFn,194500
10458756.0,6,SawyerW,Gd,TA,TA,2.0,2.0,26,Unf,152000
14273284.0,6,SawyerW,Gd,TA,TA,2.0,2.5,30,Unf,171000
8065600.0,5,SawyerW,TA,TA,TA,1.0,1.0,90,Unf,67500
14470416.0,6,Sawyer,,TA,TA,2.0,2.0,32,Unf,112000
11689561.0,5,Sawyer,TA,TA,Gd,2.0,1.0,49,Unf,148000
7193124.0,5,Sawyer,TA,TA,TA,1.0,1.0,45,Unf,138500
7193124.0,5,Sawyer,TA,TA,TA,1.0,1.0,43,Unf,122000
9734400.0,5,Sawyer,TA,TA,TA,1.0,1.5,47,Fin,133000
9734400.0,5,Sawyer,TA,TA,TA,1.0,1.5,48,Unf,127000
17606416.0,6,Sawyer,TA,TA,TA,2.0,2.0,36,Fin,169000
21123216.0,7,NoRidge,Gd,Gd,Gd,2.0,2.5,18,RFn,190000
35153041.0,8,NoRidge,Gd,Gd,Gd,3.0,2.5,17,RFn,362500
34105600.0,8,NoRidge,Gd,Gd,Gd,3.0,2.5,18,RFn,285000
19927296.0,7,Somerst,Ex,Gd,Gd,2.0,2.0,6,Fin,260000
17640000.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,6,RFn,190000
9000000.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,6,RFn,155000
9000000.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,6,RFn,151000
9000000.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,6,RFn,149500
9437184.0,6,Somerst,Gd,Gd,Gd,2.0,2.5,5,RFn,152000
19589476.0,7,Somerst,Ex,Ex,Gd,2.0,2.5,1,Fin,222000
15225604.0,6,Somerst,Gd,Gd,Gd,2.0,2.5,10,Unf,177500
14288400.0,6,Somerst,Gd,Gd,Gd,2.0,2.5,10,Unf,177000
12446784.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,11,Unf,155000
7236100.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,7,RFn,147110
20052484.0,8,Somerst,Ex,Gd,Gd,3.0,1.5,0,RFn,267916
21818241.0,8,Somerst,Gd,Gd,Gd,2.0,2.5,10,RFn,254000
5308416.0,8,Greens,Gd,Gd,Gd,2.0,1.0,30,Fin,155000
13527684.0,8,Greens,Gd,Gd,Gd,2.0,1.0,32,Fin,206000
13564489.0,6,Sawyer,TA,Gd,Gd,2.0,2.5,34,RFn,130500
20034576.0,7,Somerst,Gd,Gd,Gd,2.0,2.0,8,RFn,230000
30107169.0,6,NWAmes,TA,TA,TA,2.0,2.0,43,RFn,218500
39312900.0,6,NWAmes,Gd,TA,Gd,2.0,2.5,17,Unf,243500
23328900.0,6,NWAmes,TA,TA,Gd,2.0,2.0,33,RFn,205000
25060036.0,6,NWAmes,Gd,TA,TA,2.0,3.0,32,RFn,212500
19430464.0,7,NWAmes,Gd,TA,TA,2.0,2.5,22,Unf,196500
15389929.0,6,NWAmes,TA,TA,Gd,2.0,1.5,38,RFn,197500
16040025.0,6,NWAmes,TA,TA,TA,2.0,2.0,39,RFn,171000
13660416.0,5,NAmes,TA,TA,TA,2.0,1.5,44,RFn,142250
15872256.0,6,NWAmes,TA,TA,TA,2.0,1.5,47,Unf,143000
11560000.0,4,NAmes,TA,TA,TA,0.0,1.5,51,,128950
13155129.0,5,NAmes,Gd,TA,TA,2.0,1.0,44,RFn,159000
20520900.0,5,NAmes,TA,TA,Gd,2.0,2.0,43,RFn,178900
16670889.0,6,NAmes,TA,TA,TA,2.0,2.0,46,Unf,136300
11943936.0,5,NAmes,TA,TA,TA,2.0,1.0,46,RFn,180500
9265936.0,6,NAmes,TA,TA,Gd,2.0,1.0,47,RFn,137500
26873856.0,5,NAmes,TA,TA,TA,0.0,2.0,48,,84900
10458756.0,5,NAmes,TA,TA,Gd,1.0,1.0,60,Unf,142125
36747844.0,5,NAmes,TA,Gd,TA,2.0,2.0,58,Unf,197600
15163236.0,6,NAmes,TA,TA,TA,2.0,2.0,61,Unf,172500
6625476.0,5,BrkSide,TA,TA,TA,0.0,1.0,52,,116500
11155600.0,3,BrkSide,TA,TA,Fa,0.0,1.0,70,,76500
10125124.0,5,NAmes,TA,TA,TA,1.0,1.0,56,RFn,128000
17606416.0,6,NAmes,TA,TA,TA,1.0,1.0,55,RFn,153000
14470416.0,5,NAmes,TA,TA,TA,1.0,1.0,56,Fin,132000
11128896.0,6,NAmes,TA,TA,Gd,1.0,1.0,44,Unf,178000
31956409.0,5,NAmes,TA,TA,TA,2.0,2.0,50,Unf,154300
40462321.0,7,NAmes,Gd,TA,TA,2.0,2.0,40,RFn,180000
28015849.0,6,NAmes,TA,Gd,Gd,2.0,2.5,44,Fin,190000
23155344.0,5,NAmes,TA,TA,TA,2.0,2.0,52,Unf,135000
19713600.0,7,NAmes,Gd,Gd,Gd,2.0,2.0,7,RFn,214000
11758041.0,5,NAmes,TA,TA,TA,1.0,1.0,51,RFn,136000
23020804.0,5,NAmes,TA,TA,Gd,2.0,1.5,51,RFn,165500
15539364.0,5,NAmes,TA,TA,TA,1.0,1.0,53,RFn,145000
12830724.0,6,NAmes,TA,TA,TA,1.0,1.0,51,RFn,148000
12702096.0,5,NAmes,TA,TA,TA,2.0,1.0,51,RFn,142000
14409616.0,5,NAmes,TA,TA,TA,2.0,1.0,50,Unf,167500
13089924.0,5,NAmes,TA,TA,TA,1.0,1.0,51,RFn,108538
19395216.0,6,NAmes,TA,TA,TA,2.0,1.5,51,Unf,159500
12292036.0,4,NAmes,TA,TA,TA,1.0,1.0,54,Unf,108000
8952064.0,5,NAmes,TA,TA,Fa,1.0,1.0,58,Unf,135000
8503056.0,5,NAmes,TA,TA,TA,1.0,1.0,55,Unf,122500
8785296.0,5,NAmes,TA,TA,TA,1.0,1.0,52,Unf,119000
10055241.0,5,NAmes,TA,TA,Gd,1.0,1.0,57,Unf,109000
6482116.0,4,NAmes,TA,TA,TA,2.0,1.0,90,Unf,105000
2735716.0,5,NAmes,,TA,TA,1.0,1.0,55,Unf,107500
10614564.0,5,NAmes,TA,TA,TA,2.0,1.0,56,Unf,144900
7884864.0,5,NAmes,TA,TA,TA,1.0,1.0,54,Fin,129000
14653584.0,6,NAmes,TA,TA,TA,1.0,1.0,62,Unf,97500
10036224.0,6,OldTown,TA,TA,TA,2.0,0.0,30,Unf,144000
13227769.0,5,NAmes,TA,TA,Gd,2.0,1.0,51,Fin,162000
44435556.0,7,NAmes,Gd,Gd,Gd,2.0,2.5,43,Fin,242000
10653696.0,6,NAmes,TA,TA,TA,1.0,1.0,62,Unf,132000
13972644.0,5,NAmes,TA,TA,Gd,1.0,1.5,51,RFn,154000
13542400.0,5,NAmes,TA,TA,TA,2.0,2.0,58,Unf,166000
7290000.0,5,NAmes,TA,TA,Gd,2.0,1.0,59,Unf,134800
11209104.0,6,NAmes,TA,TA,TA,2.0,1.5,48,Unf,160000
12425625.0,5,NAmes,TA,TA,TA,2.0,1.5,50,RFn,148000
17514225.0,6,NAmes,TA,TA,TA,2.0,1.0,47,RFn,192000
19660356.0,6,NAmes,TA,TA,TA,2.0,1.5,44,Unf,155000
19333609.0,4,OldTown,TA,TA,TA,1.0,1.0,110,Unf,80400
8156736.0,4,OldTown,TA,TA,TA,0.0,1.0,100,,96500
7884864.0,5,OldTown,TA,TA,TA,0.0,1.0,90,,109500
9388096.0,5,OldTown,TA,TA,TA,2.0,1.0,83,Unf,115000
16329681.0,5,OldTown,TA,TA,Gd,2.0,1.0,53,Unf,143000
16402500.0,3,OldTown,Fa,Gd,TA,1.0,2.0,95,Unf,107400
5022081.0,4,OldTown,TA,TA,TA,1.0,1.0,65,Unf,80000
5740816.0,5,OldTown,TA,TA,Gd,1.0,1.0,70,Unf,119000
10036224.0,5,OldTown,TA,TA,TA,2.0,1.0,81,Unf,130000
11082241.0,6,OldTown,Gd,TA,Fa,1.0,1.0,72,Unf,119000
18429849.0,5,OldTown,TA,TA,Gd,1.0,1.0,62,Unf,129000
12236004.0,5,OldTown,TA,TA,TA,1.0,1.0,90,Unf,100000
5484964.0,2,OldTown,Fa,TA,TA,2.0,1.0,87,Unf,12789
4260096.0,6,OldTown,TA,TA,TA,2.0,1.0,82,Unf,105900
16499844.0,8,OldTown,TA,Gd,Gd,1.0,2.0,110,Unf,150000
15920100.0,5,OldTown,Fa,TA,TA,1.0,2.0,95,Unf,139000
23833924.0,8,OldTown,Fa,Gd,Gd,2.0,3.0,120,Unf,240000
28643904.0,5,OldTown,TA,TA,Fa,0.0,2.0,100,,76500
11451456.0,6,OldTown,TA,TA,TA,2.0,1.0,53,Unf,149700
11209104.0,4,OldTown,Fa,TA,TA,2.0,1.0,100,Unf,125500
28697449.0,4,OldTown,TA,TA,TA,2.0,2.0,125,Unf,122500
13527684.0,6,OldTown,Fa,TA,TA,2.0,1.5,88,Unf,140750
17740944.0,5,BrkSide,TA,TA,TA,1.0,1.5,60,Unf,128500
27499536.0,7,BrkSide,Gd,TA,Gd,1.0,1.5,88,Unf,209500
5267025.0,4,BrkSide,TA,TA,Gd,1.0,1.0,85,Unf,87000
8248384.0,6,BrkSide,TA,TA,TA,1.0,1.0,71,Unf,134000
8785296.0,6,BrkSide,TA,TA,TA,2.0,1.5,70,Unf,128000
13995081.0,5,BrkSide,TA,TA,Gd,1.0,1.5,68,Unf,132000
13046544.0,6,BrkSide,TA,TA,TA,1.0,1.5,62,Unf,139900
6801664.0,5,BrkSide,TA,TA,TA,2.0,1.0,74,Fin,123900
16000000.0,5,BrkSide,TA,TA,TA,2.0,2.0,80,Unf,138400
10627600.0,6,OldTown,Fa,TA,TA,1.0,1.0,87,Unf,109500
15968016.0,7,OldTown,TA,TA,TA,2.0,2.0,89,Unf,140000
23155344.0,4,OldTown,TA,TA,TA,2.0,1.5,95,Unf,149500
15210000.0,6,OldTown,TA,Gd,Gd,0.0,1.5,98,,159900
10956100.0,6,OldTown,TA,TA,TA,1.0,1.0,90,Unf,122000
5992704.0,5,IDOTRR,Gd,Fa,TA,2.0,1.0,47,Unf,110000
4769856.0,4,IDOTRR,,Fa,Fa,0.0,2.0,80,,55000
15872256.0,5,OldTown,Gd,TA,Gd,2.0,2.0,110,Unf,140000
34082244.0,7,ClearCr,TA,TA,TA,1.0,2.0,70,Unf,244400
22771984.0,5,ClearCr,Gd,TA,TA,1.0,2.0,51,Unf,173000
9840769.0,5,ClearCr,Gd,TA,Po,1.0,1.5,93,Unf,107500
15968016.0,5,SWISU,TA,Fa,TA,0.0,1.0,95,,100000
5943844.0,6,SWISU,Fa,TA,TA,1.0,1.0,70,Unf,95000
20025625.0,4,SWISU,TA,TA,TA,0.0,1.5,103,,93369
17774656.0,5,SWISU,TA,TA,TA,2.0,2.0,100,Unf,114900
7952400.0,5,Sawyer,TA,TA,TA,0.0,1.0,135,,94000
30206016.0,4,Sawyer,TA,Fa,TA,0.0,2.0,43,,136000
28132416.0,4,Sawyer,TA,TA,TA,0.0,2.0,42,,136500
9715689.0,5,Sawyer,TA,TA,TA,2.0,1.5,45,Unf,131500
17438976.0,5,Sawyer,Gd,TA,TA,2.0,1.5,53,Unf,121500
7485696.0,5,Sawyer,TA,TA,TA,1.0,1.0,43,Unf,125000
10112400.0,5,Sawyer,TA,TA,Gd,1.0,1.0,42,Unf,154000
7011904.0,5,Sawyer,TA,TA,Gd,1.0,1.0,44,Unf,137900
11336689.0,6,Sawyer,TA,TA,TA,1.0,1.5,41,Fin,158000
6718464.0,5,Sawyer,TA,TA,TA,1.0,1.0,42,Unf,137250
16524225.0,5,Sawyer,Gd,TA,TA,2.0,1.0,32,Fin,160250
12960000.0,5,Sawyer,TA,TA,TA,2.0,1.5,42,Unf,163000
11861136.0,6,Sawyer,TA,TA,TA,2.0,2.5,32,Fin,158900
33942276.0,7,ClearCr,Ex,Gd,Gd,2.0,2.5,14,RFn,328000
19236996.0,7,ClearCr,Gd,Gd,TA,2.0,1.5,33,RFn,270000
4717584.0,4,Sawyer,Fa,TA,TA,2.0,1.0,83,Unf,85000
10246401.0,4,Sawyer,Gd,TA,Gd,2.0,2.0,60,Unf,128000
19184400.0,7,ClearCr,Gd,Gd,Gd,2.0,0.5,31,Fin,260000
25796241.0,6,ClearCr,Gd,TA,Gd,2.0,2.5,32,Fin,230000
17572864.0,3,Edwards,TA,TA,Fa,1.0,2.0,72,RFn,124000
4528384.0,5,Edwards,TA,TA,TA,1.0,1.0,90,Unf,83000
7901721.0,6,Edwards,TA,TA,Gd,1.0,1.0,60,Unf,144500
11778624.0,5,Edwards,TA,TA,TA,1.0,1.0,54,Unf,129000
11943936.0,4,Edwards,TA,TA,TA,1.0,1.0,63,Unf,127000
12362256.0,5,Edwards,TA,TA,TA,1.0,1.0,56,Fin,128000
13220496.0,6,Edwards,Gd,TA,Gd,2.0,2.0,1,RFn,186000
20466576.0,7,Edwards,Gd,Gd,Gd,2.0,1.0,1,RFn,308030
14791716.0,5,Edwards,TA,TA,TA,2.0,2.0,46,Unf,114000
3459600.0,4,Edwards,,TA,Gd,1.0,1.0,64,Unf,84900
17682025.0,6,SawyerW,Gd,Gd,Gd,2.0,2.5,25,Fin,178000
18481401.0,7,SawyerW,Gd,Gd,Gd,2.0,1.5,23,RFn,270000
20702500.0,6,SawyerW,Gd,Gd,Gd,4.0,2.5,17,RFn,218000
24482704.0,7,SawyerW,Gd,Gd,Gd,2.0,2.5,17,Fin,236000
8573184.0,6,SawyerW,Gd,TA,Gd,2.0,1.0,18,Unf,147000
25826724.0,8,CollgCr,Gd,Gd,Gd,3.0,2.0,2,RFn,245350
12981609.0,7,CollgCr,Gd,Gd,Gd,2.0,2.0,4,RFn,206000
13527684.0,7,CollgCr,Gd,TA,Gd,3.0,2.0,1,RFn,198900
13439556.0,7,CollgCr,Gd,Gd,Gd,2.0,2.0,0,RFn,187000
65885689.0,7,SawyerW,Gd,TA,Gd,3.0,3.0,20,Unf,320000
12716356.0,6,SawyerW,Fa,TA,TA,2.0,2.0,110,Unf,138500
9696996.0,6,ClearCr,TA,TA,TA,2.0,1.0,39,Unf,155000
7840000.0,5,CollgCr,Gd,TA,TA,2.0,1.0,14,Unf,159000
18164644.0,7,CollgCr,Gd,TA,TA,2.0,2.5,13,RFn,191000
17372224.0,6,CollgCr,Gd,TA,Gd,2.0,2.5,12,RFn,200500
9474084.0,5,CollgCr,Gd,Gd,TA,1.0,1.5,33,Unf,150000
12061729.0,6,CollgCr,Gd,TA,TA,1.0,1.5,33,Fin,161750
7193124.0,5,CollgCr,TA,TA,TA,1.0,1.0,34,Unf,128200
6906384.0,5,CollgCr,TA,TA,TA,2.0,1.0,38,Unf,127000
35212356.0,8,CollgCr,Gd,Gd,Gd,3.0,2.5,7,RFn,318000
22877089.0,8,CollgCr,Gd,Gd,Gd,2.0,2.0,9,RFn,272000
21150801.0,7,CollgCr,Gd,Gd,Gd,2.0,2.5,7,RFn,237000
27415696.0,7,CollgCr,Gd,Gd,Gd,2.0,2.5,13,Fin,240000
24710841.0,7,CollgCr,Gd,TA,Gd,2.0,2.0,12,RFn,224900
6471936.0,6,CollgCr,Gd,Gd,Gd,2.0,1.0,7,Fin,143750
6471936.0,6,CollgCr,Gd,Gd,Gd,2.0,1.0,6,RFn,143000
24930049.0,8,CollgCr,Gd,Gd,Gd,2.0,2.0,7,Fin,232000
19722481.0,7,CollgCr,Gd,Gd,Gd,2.0,2.0,6,RFn,213000
17994564.0,7,CollgCr,Gd,Gd,Gd,2.0,2.0,6,RFn,185500
1638400.0,3,Edwards,,TA,TA,1.0,1.0,65,Unf,84900
5593225.0,5,Edwards,Fa,TA,TA,1.0,1.0,56,Unf,155891
11075584.0,5,Edwards,,TA,TA,0.0,2.0,45,,100000
12873744.0,5,Edwards,Gd,TA,TA,1.0,1.0,42,RFn,144000
8904256.0,4,Edwards,TA,TA,Fa,2.0,1.0,62,Unf,64000
10240000.0,6,Edwards,TA,TA,TA,1.0,1.0,35,Unf,125200
10647169.0,6,Edwards,TA,TA,TA,2.0,1.0,34,Unf,107000
8294400.0,4,Edwards,TA,TA,TA,0.0,1.0,52,,90000
11309769.0,4,Edwards,Gd,TA,TA,2.0,2.0,7,RFn,140000
13756681.0,6,Edwards,TA,TA,TA,1.0,1.5,65,Unf,113000
6350400.0,4,Edwards,Gd,TA,Fa,1.0,1.0,69,Unf,80000
18215824.0,5,Edwards,TA,TA,TA,1.0,1.0,53,Unf,144500
13682601.0,5,SWISU,TA,TA,Fa,1.0,2.0,86,Unf,104000
16810000.0,6,SWISU,Gd,TA,Fa,1.0,1.5,95,Unf,128000
6718464.0,3,Edwards,TA,TA,TA,1.0,1.0,96,Unf,58500
19430464.0,5,SWISU,TA,TA,Gd,1.0,2.0,86,Unf,127000
6594624.0,6,SWISU,TA,TA,TA,2.0,1.0,71,Unf,126000
28090000.0,4,SWISU,,TA,TA,0.0,3.0,43,,160000
17859076.0,5,SWISU,TA,TA,TA,0.0,1.0,79,,100000
32467204.0,6,SWISU,TA,TA,Gd,1.0,2.0,91,Unf,169000
33570436.0,7,Crawfor,Gd,Gd,TA,1.0,1.5,69,Unf,257500
29008996.0,5,Crawfor,TA,TA,TA,2.0,2.5,60,Unf,215000
34012224.0,7,Crawfor,TA,Ex,Gd,1.0,2.0,69,RFn,266500
32558436.0,7,Crawfor,Gd,Gd,Ex,2.0,2.0,51,Fin,335000
13890529.0,7,Crawfor,Gd,TA,Gd,2.0,2.5,16,RFn,203135
9302500.0,8,Blueste,Gd,Gd,Gd,2.0,1.0,21,Fin,185000
12766329.0,8,Blueste,Gd,Gd,Gd,2.0,2.0,21,Unf,162500
26040609.0,7,Crawfor,TA,TA,TA,2.0,2.0,51,Fin,289000
9634816.0,4,IDOTRR,TA,TA,Gd,1.0,1.0,88,Unf,125500
2433600.0,2,IDOTRR,TA,TA,TA,1.0,1.0,69,Unf,82000
8082649.0,6,IDOTRR,TA,TA,TA,1.0,1.0,89,Unf,110000
8726116.0,4,IDOTRR,TA,TA,TA,2.0,1.0,90,RFn,68400
10336225.0,4,IDOTRR,TA,TA,TA,1.0,1.0,110,RFn,102776
6906384.0,5,IDOTRR,TA,Fa,Fa,2.0,1.0,58,Unf,55993
7075600.0,4,IDOTRR,TA,Fa,TA,1.0,1.0,114,RFn,50138
23872996.0,8,Crawfor,Ex,Gd,Gd,2.0,2.0,6,Fin,246000
23824161.0,8,Mitchel,Gd,Gd,Gd,3.0,2.5,12,Unf,254900
14538969.0,6,Mitchel,TA,TA,Gd,2.0,2.0,33,Unf,190000
21902400.0,7,Mitchel,Ex,Gd,Gd,2.0,2.0,7,Fin,201000
9486400.0,6,Mitchel,TA,TA,TA,3.0,1.0,34,Unf,169900
36650916.0,6,Mitchel,TA,TA,TA,2.0,3.0,34,Unf,170000
16982641.0,5,Timber,TA,TA,TA,2.0,1.0,62,Unf,160000
16224784.0,7,Timber,Gd,Gd,Gd,3.0,2.0,2,Fin,220000
13264164.0,7,Timber,Gd,Gd,Gd,2.0,2.0,1,RFn,179781
10705984.0,5,Timber,Gd,TA,TA,2.0,2.5,4,Fin,174000
22184100.0,8,Timber,Ex,Gd,Ex,3.0,2.5,1,Fin,269500
21206025.0,7,Timber,Gd,Gd,Gd,2.0,2.5,8,Fin,214900
22877089.0,8,Timber,Gd,Gd,Gd,2.0,2.5,8,Fin,202900
36457444.0,9,Timber,Ex,Ex,Ex,3.0,2.0,2,Fin,378500
12931216.0,5,Mitchel,TA,TA,TA,2.0,1.0,45,Unf,169000
18404100.0,5,Mitchel,Ex,TA,Gd,2.0,2.0,6,RFn,173500
20793600.0,6,Mitchel,TA,TA,TA,0.0,3.0,39,,139000
16257024.0,5,Mitchel,Gd,TA,TA,2.0,2.0,11,Unf,166500
7452900.0,4,MeadowV,TA,TA,TA,1.0,1.5,37,RFn,83500
8037225.0,5,MeadowV,Gd,TA,TA,1.0,1.0,37,RFn,119500
7617600.0,5,MeadowV,Gd,TA,TA,1.0,1.5,34,Unf,85000
7452900.0,4,MeadowV,TA,TA,TA,0.0,1.5,40,,76000
3572100.0,4,MeadowV,Gd,TA,TA,0.0,1.0,38,,75500
7452900.0,4,MeadowV,TA,TA,TA,0.0,1.5,40,,88250
7452900.0,4,MeadowV,TA,TA,TA,1.0,1.5,38,Unf,85500
6822544.0,5,Mitchel,TA,TA,TA,1.0,1.0,39,Unf,130000
12702096.0,5,Mitchel,TA,TA,TA,1.0,1.0,48,Unf,157900
6245001.0,5,Mitchel,Gd,TA,Gd,2.0,1.0,26,Unf,149900
36966400.0,5,Mitchel,TA,TA,TA,2.0,5.0,25,Unf,159000
10061584.0,5,Mitchel,Gd,TA,TA,2.0,1.5,19,Unf,136000
14607684.0,5,Mitchel,TA,TA,TA,1.0,2.0,41,Fin,161000
27931225.0,8,Mitchel,Gd,Gd,Gd,2.0,2.5,16,Unf,285000
